"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","IsDeployable","IsDestructiveRisk","IsSelected","HasExplicitSelection"
"103a54bc-bfbe-4cdb-8a43-543cf00aa023","Constraint","SMigration","PK_Onboarding_RunEntitySelections","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"4c87f419-c5ad-4b25-bc23-b9ad28eec013","Constraint","SMigration","PK_SMigration_Onboarding_RunStageSelections","Onboarding_RunStageSelections","MissingInTarget","True","False","True","True"
"5d55cfe0-21a1-4710-b3c8-3d9c5a81c285","Constraint","SMigration","PK_SMigration_Onboarding_WorkflowStatuses","Onboarding_WorkflowStatuses","MissingInTarget","True","False","True","True"
"26880055-d9f1-4f25-b52f-b15707d36c04","Constraint","SMigration","UQ_Onboarding_EntityScope_Code","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"2278a9fb-2d84-4547-8e21-bdec5f299e0e","Constraint","SMigration","UQ_Onboarding_EntityScope_Guid","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"a2804295-3c7a-42e5-bd1a-2e6c12743b99","Constraint","SMigration","UQ_Onboarding_RunEntitySelections_Guid","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"11a53c02-5cb7-4358-959e-588337676e39","Constraint","SMigration","UQ_Onboarding_RunEntitySelections_Run_Entity","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"5b4474ea-3e0d-45ad-8947-c4abbadf1578","Constraint","SSop","DF__tvf_Enqui__IsHid__5CF19AEF","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"868a1abd-9376-4bf1-a4fd-f61d62d66dc8","Constraint","SSop","DF__tvf_Enqui__IsInf__5ED9E361","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"4e77958e-2c88-4e21-8e76-8edf5d0bd1e4","Constraint","SSop","DF__tvf_Enqui__IsInv__5DE5BF28","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"cce124a5-08e2-4549-862a-961565713f6f","Constraint","SSop","DF__tvf_Enqui__IsRea__5BFD76B6","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"116d403b-71d4-4278-a4b1-ad81b76aaaaa","Constraint","SSop","DF__tvf_Enqui__Messa__5FCE079A","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"6497148e-bb8c-4a3c-bc62-b0f9bfb669c9","Constraint","SSop","DF__tvf_Enqui__Targe__5A152E44","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"d1b6197a-5496-47b5-95ea-29c5eb63a827","Constraint","SSop","DF__tvf_Enqui__Targe__5B09527D","tvf_EnquiriesValidate","MissingInTarget","True","False","True","True"
"e16409f9-5a7e-4f0a-a2b1-f53642815324","Constraint","SSop","DF__tvf_Quote__IsHid__1EC97FED","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"81dc6d5d-1247-4c2a-bb94-aa161e777f9d","Constraint","SSop","DF__tvf_Quote__IsHid__43E5F603","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"a04069ce-c8e3-44bd-af68-80e0c317e2e0","Constraint","SSop","DF__tvf_Quote__IsInf__20B1C85F","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"7a5790f7-287e-42e7-818e-cceb5cb9d627","Constraint","SSop","DF__tvf_Quote__IsInf__45CE3E75","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"9ad88109-c40c-4687-a4f8-6d0ba108e5fa","Constraint","SSop","DF__tvf_Quote__IsInv__1FBDA426","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"a054a12c-0363-4621-b3cb-a3e665ba2f18","Constraint","SSop","DF__tvf_Quote__IsInv__44DA1A3C","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"c044255b-b9c3-4f52-a68e-06739377e0a2","Constraint","SSop","DF__tvf_Quote__IsRea__1DD55BB4","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"7dc91273-b419-4068-9fea-9d8bfa2e4f6a","Constraint","SSop","DF__tvf_Quote__IsRea__42F1D1CA","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"3ff29614-91f6-400a-b515-8a6737a91403","Constraint","SSop","DF__tvf_Quote__Messa__21A5EC98","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"cc6b0fae-72cf-49a7-9167-f9e8e28f2eb2","Constraint","SSop","DF__tvf_Quote__Messa__46C262AE","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"803db319-e6ea-474f-9f4b-ff265e878d4b","Constraint","SSop","DF__tvf_Quote__Targe__1BED1342","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"5cb0776f-1c4e-4943-bdeb-ff6f865c6041","Constraint","SSop","DF__tvf_Quote__Targe__1CE1377B","tvf_QuotesValidate","MissingInTarget","True","False","True","True"
"77ab3d1f-f6fd-45a5-bff3-0849d76261bb","Constraint","SSop","DF__tvf_Quote__Targe__41098958","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"46cd3ca8-daee-4226-8618-6843853a0149","Constraint","SSop","DF__tvf_Quote__Targe__41FDAD91","tvf_QuoteItemsValidate","MissingInTarget","True","False","True","True"
"02233123-3949-4cfa-a00b-a107526c8e0b","Constraint","SSop","DF_CriticalProjectNotes_CreatedBy","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"76789fea-808e-41a1-babe-2be6350f323a","Constraint","SSop","DF_CriticalProjectNotes_DateCreated","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"e5ea9167-50cd-4044-99ef-9506e669a280","Constraint","SSop","DF_CriticalProjectNotes_Guid","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"9320e0ea-cec5-4195-b839-0f0dc3c6c3ac","Constraint","SSop","DF_CriticalProjectNotes_ParentGuid","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"144b4614-c553-4169-8384-6a400a5d5bb1","Constraint","SSop","DF_CriticalProjectNotes_ProjectId","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"9e18ce05-30ed-41f1-a6ad-ca33e8be2e24","Constraint","SSop","DF_CriticalProjectNotes_RowStatus","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"19053284-89af-4afa-bc21-6e480446f541","Constraint","SSop","FK_CriticalProjectNotes_CreatedBy","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"050ef49f-22db-4e99-b25e-c9645627793a","Constraint","SSop","FK_CriticalProjectNotes_Guid","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"83a61ae8-bb2a-49ac-b851-81e41af86f4c","Constraint","SSop","FK_CriticalProjectNotes_Projects","CriticalProjectNotes","MissingInTarget","True","False","True","True"
"4a5bb612-3eee-45d8-a7c2-35674a681dc8","Index","SCore","DataObjectTransition.IX_DataObjectTransition_Active_DataObjectGuid_ID","DataObjectTransition","MissingInTarget","True","False","True","True"
"c8d0c97f-550f-4104-bb5c-27af740ca2f2","Index","SCore","WorkflowStatus.IX_WorkflowStatus_Active_ID_Guid","WorkflowStatus","MissingInTarget","True","False","True","True"
"f76ab424-a5b3-48ec-aa9e-e3633ae9a8c3","Index","SMigration","Onboarding_EntityScope.IX_Onboarding_EntityScope_DisplayOrder","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"5700c65c-f1a4-4e12-a04c-e8ec3c970b64","Index","SMigration","Onboarding_Run.IX_SMigration_Onboarding_Run_Active","Onboarding_Run","MissingInTarget","True","False","True","True"
"aba050d6-6e58-440b-ab1c-bfadc66c1f33","Index","SMigration","Onboarding_RunEntitySelections.IX_Onboarding_RunEntitySelections_RunGuid","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"0a3a2b28-e766-4f40-9b2c-1c17eb9f0247","Index","SMigration","Onboarding_RunStageSelections.UX_SMigration_Onboarding_RunStageSelections_Run_Entity_Row","Onboarding_RunStageSelections","MissingInTarget","True","False","True","True"
"ad89fef3-f654-4f7f-823c-1b644c6b3fe2","Index","SSop","QuoteItems.IX_QuoteItems_Active_QuoteId_Net","QuoteItems","MissingInTarget","True","False","True","True"
